0,"[0, 1000[","[0, 5000[","[0, 10000[","[0, 20000[",*
114,"[0, 1000[","[0, 5000[","[0, 10000[","[0, 20000[",*
401,"[0, 1000[","[0, 5000[","[0, 10000[","[0, 20000[",*
594,"[0, 1000[","[0, 5000[","[0, 10000[","[0, 20000[",*
914,"[0, 1000[","[0, 5000[","[0, 10000[","[0, 20000[",*
991,"[0, 1000[","[0, 5000[","[0, 10000[","[0, 20000[",*
1055,"[1000, 2000[","[0, 5000[","[0, 10000[","[0, 20000[",*
1086,"[1000, 2000[","[0, 5000[","[0, 10000[","[0, 20000[",*
1111,"[1000, 2000[","[0, 5000[","[0, 10000[","[0, 20000[",*
1151,"[1000, 2000[","[0, 5000[","[0, 10000[","[0, 20000[",*
1173,"[1000, 2000[","[0, 5000[","[0, 10000[","[0, 20000[",*
1409,"[1000, 2000[","[0, 5000[","[0, 10000[","[0, 20000[",*
1424,"[1000, 2000[","[0, 5000[","[0, 10000[","[0, 20000[",*
1455,"[1000, 2000[","[0, 5000[","[0, 10000[","[0, 20000[",*
1471,"[1000, 2000[","[0, 5000[","[0, 10000[","[0, 20000[",*
1506,"[1000, 2000[","[0, 5000[","[0, 10000[","[0, 20000[",*
1639,"[1000, 2000[","[0, 5000[","[0, 10000[","[0, 20000[",*
1797,"[1000, 2000[","[0, 5000[","[0, 10000[","[0, 20000[",*
1831,"[1000, 2000[","[0, 5000[","[0, 10000[","[0, 20000[",*
1848,"[1000, 2000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2009,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2036,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2050,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2062,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2105,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2174,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2176,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2202,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2228,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2290,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2329,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2346,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2354,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2387,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2407,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2414,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2463,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2538,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2580,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2597,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2635,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2653,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2829,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2885,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2907,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2936,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2961,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2964,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2977,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
2993,"[2000, 3000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3103,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3137,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3273,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3325,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3411,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3418,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3432,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3456,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3464,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3471,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3674,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3781,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3818,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3887,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3908,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
3942,"[3000, 4000[","[0, 5000[","[0, 10000[","[0, 20000[",*
4064,"[4000, 5000[","[0, 5000[","[0, 10000[","[0, 20000[",*
4101,"[4000, 5000[","[0, 5000[","[0, 10000[","[0, 20000[",*
4386,"[4000, 5000[","[0, 5000[","[0, 10000[","[0, 20000[",*
4416,"[4000, 5000[","[0, 5000[","[0, 10000[","[0, 20000[",*
4508,"[4000, 5000[","[0, 5000[","[0, 10000[","[0, 20000[",*
4650,"[4000, 5000[","[0, 5000[","[0, 10000[","[0, 20000[",*
4687,"[4000, 5000[","[0, 5000[","[0, 10000[","[0, 20000[",*
4787,"[4000, 5000[","[0, 5000[","[0, 10000[","[0, 20000[",*
4865,"[4000, 5000[","[0, 5000[","[0, 10000[","[0, 20000[",*
4931,"[4000, 5000[","[0, 5000[","[0, 10000[","[0, 20000[",*
4934,"[4000, 5000[","[0, 5000[","[0, 10000[","[0, 20000[",*
5013,"[5000, 6000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
5060,"[5000, 6000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
5178,"[5000, 6000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
5455,"[5000, 6000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
5556,"[5000, 6000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
5721,"[5000, 6000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
6097,"[6000, 7000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
6360,"[6000, 7000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
6418,"[6000, 7000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
6497,"[6000, 7000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
6514,"[6000, 7000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
6723,"[6000, 7000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
6767,"[6000, 7000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
6849,"[6000, 7000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
7298,"[7000, 8000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
7430,"[7000, 8000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
7443,"[7000, 8000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
7688,"[7000, 8000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
7896,"[7000, 8000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
7978,"[7000, 8000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
8614,"[8000, 9000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
9386,"[9000, 10000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
9562,"[9000, 10000[","[5000, 10000[","[0, 10000[","[0, 20000[",*
10520,"[10000, 11000[","[10000, 15000[","[10000, 20000[","[0, 20000[",*
10566,"[10000, 11000[","[10000, 15000[","[10000, 20000[","[0, 20000[",*
10605,"[10000, 11000[","[10000, 15000[","[10000, 20000[","[0, 20000[",*
11678,"[11000, 12000[","[10000, 15000[","[10000, 20000[","[0, 20000[",*
13550,"[13000, 14000[","[10000, 15000[","[10000, 20000[","[0, 20000[",*
14084,"[14000, 15000[","[10000, 15000[","[10000, 20000[","[0, 20000[",*
14344,"[14000, 15000[","[10000, 15000[","[10000, 20000[","[0, 20000[",*
15020,"[15000, 16000[","[15000, 20000[","[10000, 20000[","[0, 20000[",*
15024,"[15000, 16000[","[15000, 20000[","[10000, 20000[","[0, 20000[",*
15831,"[15000, 16000[","[15000, 20000[","[10000, 20000[","[0, 20000[",*
18481,"[18000, 19000[","[15000, 20000[","[10000, 20000[","[0, 20000[",*
20051,"[20000, 21000[","[20000, 25000[","[20000, 30000[","[20000, 40000[",*
22040,"[22000, 23000[","[20000, 25000[","[20000, 30000[","[20000, 40000[",*
25124,"[25000, 26000[","[25000, 30000[","[20000, 30000[","[20000, 40000[",*
25236,"[25000, 26000[","[25000, 30000[","[20000, 30000[","[20000, 40000[",*
27828,"[27000, 28000[","[25000, 30000[","[20000, 30000[","[20000, 40000[",*
34095,"[34000, 35000[","[30000, 35000[","[30000, 40000[","[20000, 40000[",*
41310,>=40000,>=40000,>=40000,>=40000,*
99999,>=40000,>=40000,>=40000,>=40000,*
