United-States,North America,*
Outlying-US(Guam-USVI-etc),North America,*
Canada,North America,*
Cuba,North America,*
Dominican-Republic,North America,*
El-Salvador,North America,*
Haiti,North America,*
Guatemala,North America,*
Honduras,North America,*
Jamaica,North America,*
Mexico,North America,*
Puerto-Rico,North America,*
Columbia,South America,*
Ecuador,South America,*
Nicaragua,South America,*
Peru,South America,*
Trinadad&Tobago,South America,*
England,Europe,*
France,Europe,*
Germany,Europe,*
Greece,Europe,*
Holand-Netherlands,Europe,*
Hungary,Europe,*
Ireland,Europe,*
Italy,Europe,*
Poland,Europe,*
Portugal,Europe,*
Scotland,Europe,*
Yugoslavia,Europe,*
Cambodia,Asia,*
China,Asia,*
Hong,Asia,*
India,Asia,*
Iran,Asia,*
Japan,Asia,*
Laos,Asia,*
Philippines,Asia,*
South,Asia,*
Taiwan,Asia,*
Thailand,Asia,*
Vietnam,Asia,*
?,Unknown,*
