0,"[0, 550[","[0, 1100[","[0, 2200[",*
155,"[0, 550[","[0, 1100[","[0, 2200[",*
213,"[0, 550[","[0, 1100[","[0, 2200[",*
323,"[0, 550[","[0, 1100[","[0, 2200[",*
419,"[0, 550[","[0, 1100[","[0, 2200[",*
625,"[550, 1100[","[0, 1100[","[0, 2200[",*
653,"[550, 1100[","[0, 1100[","[0, 2200[",*
810,"[550, 1100[","[0, 1100[","[0, 2200[",*
880,"[550, 1100[","[0, 1100[","[0, 2200[",*
974,"[550, 1100[","[0, 1100[","[0, 2200[",*
1092,"[550, 1100[","[0, 1100[","[0, 2200[",*
1138,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1258,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1340,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1380,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1408,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1411,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1485,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1504,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1539,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1564,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1573,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1579,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1590,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1594,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1602,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1617,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1628,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1648,"[1100, 1650[","[1100, 2200[","[0, 2200[",*
1651,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1668,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1669,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1672,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1719,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1721,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1726,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1735,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1740,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1741,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1755,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1762,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1816,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1825,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1844,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1848,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1876,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1887,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1902,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1944,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1974,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1977,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
1980,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
2001,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
2002,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
2042,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
2051,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
2057,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
2080,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
2129,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
2149,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
2163,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
2174,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
2179,"[1650, 2200[","[1100, 2200[","[0, 2200[",*
2201,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
